condition_key,split,perturbation,n_real_samples,n_generated_samples,n_genes,condition,pearson,spearman,r_squared,mse
BCL2L11+TGFBR2,test,BCL2L11+TGFBR2,32,32,5045,BCL2L11+TGFBR2,-0.006006460620050821,-0.004191328939260748,-0.0747690200805664,0.17366420601427293
BCL2L11+ctrl,test,BCL2L11+ctrl,32,32,5045,BCL2L11+ctrl,-0.0019399910602302913,-0.0020005966479807015,-0.07492434978485107,0.17376903376698521
ctrl,test,ctrl,256,256,5045,ctrl,1.0,1.0,1.0,0.0
